port_ID	port_name	lat	lon	buffer_in_KM	buffer_out_KM	Timezone	Shift1	Shift2	Shift3	Shift4	Shift5	Shift6	Shift7	Shift8	Shift9	ToUTC1	ToUTC2	ToUTC3	ToUTC4	ToUTC5	ToUTC6	ToUTC7	ToUTC8	ToUTC9	locode
592	Batangas	13.75	121.05	24.1402	24.1402	Asia/Manila	2020-01-03 00:00:00	2020-01-03 00:00:00	2020-01-03 00:00:00	2020-01-03 00:00:00	2020-01-03 00:00:00	2020-01-03 00:00:00	2020-01-03 00:00:00	2020-01-03 00:00:00	2020-01-03 00:00:00	-8.0	-8.0	-8.0	-8.0	-8.0	-8.0	-8.0	-8.0	-8.0	PHBTG
690	Baton Rouge	30.45	-91.183333	24.1402	24.1402	America/Chicago	2015-03-08 03:00:00	2015-11-01 01:00:00	2016-03-13 03:00:00	2016-11-06 01:00:00	2017-03-12 03:00:00	2017-11-05 01:00:00	2018-03-11 03:00:00	2018-11-04 01:00:00	2019-03-10 03:00:00	5.0	6.0	5.0	6.0	5.0	6.0	5.0	6.0	5.0	USBTR
703	Batu Ampar	1.169719444	104.02	13.55686361	13.55686361	Asia/Jakarta	2020-01-03 00:00:00	2020-01-03 00:00:00	2020-01-03 00:00:00	2020-01-03 00:00:00	2020-01-03 00:00:00	2020-01-03 00:00:00	2020-01-03 00:00:00	2020-01-03 00:00:00	2020-01-03 00:00:00	-7.0	-7.0	-7.0	-7.0	-7.0	-7.0	-7.0	-7.0	-7.0	IDBUR
958	Batumi			24.1402	24.1402																				
1109	Baubau			24.1402	24.1402																				
1110	Bautino			24.1402	24.1402																				
1111	Bay City			24.1402	24.1402																				
1112	Bayonne			24.1402	24.1402																				
3164	Bayside Harbour			24.1402	24.1402																				
1113	Beaumont			24.1402	24.1402																				
1114	Becancour			24.1402	24.1402																				
2116	Bedi Bunder			24.1402	24.1402																				
1115	Beigouzhen			24.1402	24.1402																				
1116	Beihai			24.1402	24.1402																				
357	Beira	-19.81845283	34.83415083	24.1402	24.1402	Africa/Maputo	2020-01-03 00:00:00	2020-01-03 00:00:00	2020-01-03 00:00:00	2020-01-03 00:00:00	2020-01-03 00:00:00	2020-01-03 00:00:00	2020-01-03 00:00:00	2020-01-03 00:00:00	2020-01-03 00:00:00	-2.0	-2.0	-2.0	-2.0	-2.0	-2.0	-2.0	-2.0	-2.0	MZBEW
396	Beirut	33.90925583	35.5374405	50.05	50.05	Asia/Beirut	2015-03-29 01:00:00	2015-10-24 23:00:00	2016-03-27 01:00:00	2016-10-29 23:00:00	2017-03-26 01:00:00	2017-10-28 23:00:00	2018-03-25 01:00:00	2018-10-27 23:00:00	2019-03-31 01:00:00	-2.0	-3.0	-2.0	-3.0	-2.0	-3.0	-2.0	-3.0	-2.0	LBBEY
